,label
protein-53564,0
protein-9190,1
protein-57380,1
protein-51173,0
protein-44330,1
protein-48723,1
protein-33069,0
protein-20149,0
protein-5947,1
protein-14972,1
protein-36326,0
protein-3602,0
protein-44076,0
protein-61921,0
protein-6988,1
protein-46019,1
protein-48146,0
protein-266,0
protein-3155,0
protein-51523,0
protein-46641,1
protein-60395,1
protein-45457,1
protein-59652,1
protein-63894,0
protein-1584,0
protein-22536,1
protein-64538,0
protein-54571,1
protein-39573,1
protein-52033,1
protein-43682,0
protein-10792,0
protein-23264,0
protein-20481,0
protein-18295,1
protein-11747,1
protein-62529,1
protein-47594,0
protein-11842,1
protein-53656,1
protein-51423,1
protein-58291,0
protein-54705,1
protein-16272,0
protein-4610,1
protein-33060,0
protein-35487,0
protein-16635,1
protein-5932,1
protein-18879,0
protein-52032,1
protein-5816,1
protein-32025,0
protein-36,0
protein-15979,1
protein-7570,1
protein-45606,1
protein-45341,1
protein-51128,0
protein-20888,0
protein-17492,0
protein-1577,0
protein-17248,0
protein-5056,0
protein-33932,0
protein-21843,0
protein-43850,0
protein-51158,0
protein-30373,0
protein-63312,1
protein-46144,1
protein-3152,0
protein-18458,1
protein-22875,1
protein-59800,1
protein-45120,1
protein-49669,0
protein-44542,1
protein-58592,1
protein-57781,0
protein-24630,1
protein-17555,0
protein-26169,1
protein-56454,1
protein-47048,0
protein-16074,1
protein-1414,1
protein-15075,1
protein-18304,1
protein-21464,1
protein-20275,1
protein-41635,1
protein-19870,1
protein-458,0
protein-3446,0
protein-57839,0
protein-60115,0
protein-54151,1
protein-32608,1
protein-57522,1
protein-24389,1
protein-52213,0
protein-17447,0
protein-14361,0
protein-62992,1
protein-63324,1
protein-22363,1
protein-1040,0
protein-35514,0
protein-14812,0
protein-25656,1
protein-7209,1
protein-37502,0
protein-55324,1
protein-44490,1
protein-41859,1
protein-8551,1
protein-58985,1
protein-26312,1
protein-13151,1
protein-27428,1
protein-9283,0
protein-3915,0
protein-23659,0
protein-32872,0
protein-4348,0
protein-44762,1
protein-8747,1
protein-47939,0
protein-47353,0
protein-3002,0
protein-43488,0
protein-32283,1
protein-49328,0
protein-38801,1
protein-16421,0
protein-31268,1
protein-38920,1
protein-24007,0
protein-56335,1
protein-43543,0
protein-40982,0
protein-17597,0
protein-59317,1
protein-50390,1
protein-59722,1
protein-7321,1
protein-28474,1
protein-38205,1
protein-38884,1
protein-49798,0
protein-47572,0
protein-28971,1
protein-9204,1
protein-12457,1
protein-28909,1
protein-61636,1
protein-60938,1
protein-10596,1
protein-61590,1
protein-34545,1
protein-41729,1
protein-59609,1
protein-54351,1
protein-24794,0
protein-6066,1
protein-64099,0
protein-28119,1
protein-42169,1
protein-16073,1
protein-12185,1
protein-43010,0
protein-50077,0
protein-36185,0
protein-28486,1
protein-13950,1
protein-38229,1
protein-28101,1
protein-2955,1
protein-50839,1
protein-36361,0
protein-16932,1
protein-34142,1
protein-26751,0
protein-19261,0
protein-26779,0
protein-53070,0
protein-1271,0
protein-25645,1
protein-35473,0
protein-36410,0
protein-44495,1
protein-33835,0
protein-31110,1
protein-13652,1
protein-63370,0
protein-56173,1
protein-2352,1
protein-44386,1
protein-26127,1
protein-49390,0
protein-40933,0
protein-41953,1
protein-41380,0
protein-22958,1
protein-50735,1
protein-40837,0
protein-8456,1
protein-54714,1
protein-41730,1
protein-34491,1
protein-50244,1
protein-47039,0
protein-7790,1
protein-19236,0
protein-27402,1
protein-34574,1
protein-55995,1
protein-54976,0
protein-37468,0
protein-58900,1
protein-39481,0
protein-33988,0
protein-41853,1
protein-23368,0
protein-22139,0
protein-32106,0
protein-59720,1
protein-21895,0
protein-38023,0
protein-32672,1
protein-57827,1
protein-62945,1
protein-27213,1
protein-9267,0
protein-46385,1
protein-10949,1
protein-15166,1
protein-17288,0
protein-60213,0
protein-7593,1
protein-31908,1
protein-56043,0
protein-24574,1
protein-71,0
protein-3420,0
protein-26745,0
protein-55673,1
protein-62479,1
protein-55093,0
protein-19583,0
protein-55825,0
protein-55896,0
protein-32184,0
protein-4750,0
protein-52185,0
protein-41809,1
protein-36655,1
protein-32379,1
protein-50131,0
protein-45148,1
protein-21941,1
protein-18859,0
protein-40401,0
protein-43856,0
protein-42454,1
protein-13925,1
protein-52542,1
protein-36034,0
protein-58082,0
protein-17872,0
protein-33407,0
protein-32298,1
protein-58063,0
protein-13864,1
protein-52617,1
protein-60379,1
protein-22750,1
protein-9870,0
protein-24911,0
protein-41388,0
protein-25905,1
protein-62436,0
protein-4991,0
protein-59844,0
protein-23270,0
protein-17963,0
protein-45736,1
protein-33318,1
protein-7025,1
protein-12053,1
protein-42989,0
protein-21983,0
protein-16124,1
protein-4364,0
protein-12089,1
protein-8875,1
protein-40711,1
protein-31806,1
protein-14523,0
protein-1976,0
protein-15698,1
protein-24305,0
protein-26035,1
protein-30054,0
protein-15292,1
protein-7893,1
protein-13275,1
protein-51056,1
protein-47476,0
protein-36362,0
protein-7877,1
protein-21739,0
protein-64437,1
protein-54082,1
protein-59112,1
protein-5126,0
protein-26736,1
protein-18388,1
protein-62851,1
protein-47950,0
protein-20297,1
protein-6374,0
protein-7256,1
protein-22239,0
protein-36744,1
protein-42036,1
protein-5767,0
protein-42053,1
protein-63023,1
protein-52112,0
protein-28225,1
protein-23944,1
protein-14399,0
protein-37445,0
protein-20476,0
protein-7291,1
protein-15001,1
protein-20776,0
protein-9009,1
protein-32681,0
protein-59272,1
protein-32932,0
protein-47399,0
protein-49696,0
protein-40834,0
protein-45817,1
protein-26539,0
protein-41379,0
protein-60881,1
protein-28049,1
protein-43224,0
protein-32623,1
protein-8953,1
protein-59958,0
protein-29680,1
protein-24700,0
protein-47760,0
protein-9094,1
protein-42367,0
protein-62619,1
protein-49199,0
protein-56521,1
protein-15551,1
protein-44685,1
protein-34956,1
protein-57943,0
protein-33080,0
protein-21889,0
protein-34944,1
protein-22476,1
protein-37794,0
protein-43815,0
protein-26496,0
protein-1389,1
protein-4266,1
protein-57217,1
protein-40498,0
protein-19754,0
protein-47567,0
protein-6946,1
protein-19538,0
protein-35673,1
protein-56263,0
protein-19549,0
protein-33921,0
protein-59414,0
protein-38511,1
protein-6927,1
protein-2892,1
protein-1350,0
protein-26965,1
protein-32342,1
protein-34549,1
protein-48858,0
protein-63667,0
protein-39263,1
protein-41332,1
protein-25864,1
protein-63371,0
protein-5012,0
protein-18534,1
protein-27185,1
protein-53466,0
protein-55881,0
protein-25692,1
protein-41821,1
protein-37542,0
protein-61639,1
protein-44291,0
protein-9392,0
protein-16715,1
protein-51906,1
protein-46151,1
protein-31176,1
protein-44350,1
protein-38959,1
protein-43592,0
protein-36501,1
protein-19307,0
protein-38057,1
protein-64321,1
protein-29162,0
protein-63837,0
protein-38424,1
protein-42060,1
